# CONCEPTICON
# Created by: QLC Research Group
# Created on: 2014-05-08 10:17

OMEGAWIKI	SEEALSO	GLOSS	ALIAS	DEFINITION	POS	WOLD
433601	-	DOOR-BOLT	LATCH	A fastening for a door that has a bar that fits into a notch or slot, and is lifted by a lever or string from either side.		Noun	7.231
1153341	-	DOORPOST	-	The frame that supports a door.	Noun	7.221
5716	6812	DOUBT	-	Challenge about the truth or accuracy of a matter.	Noun	17.43
6812	-	DOUBT	-	To lack confidence in; to disbelieve, question, or suspect.	Verb	17.99907
1505807	-	DOUGH	-	A mixture of flour and water ready to be baked into bread, pastry etc.	Noun	5.53
7890	-	DOVE	-	One of several birds of the family Columbidae.	Noun	3.594
5797	-	DOWN	-	From an higher position to a lower one.	Function word	12.03
339931	339936;339947	DRAW	-	To produce traces or marks with a solid colour on a hard surface or with a solid object on softer surface.	Verb	9.9993
840722	339936	DRAW WATER	-	To draw by a physical force causing or tending to cause to approach, adhere, or unite	Verb	9.9
8448	-	DREAM	-	To experience while sleeping.	Verb	4.62
154560	-	DRESS	-	A one-piece garment for a woman that has a skirt and a body section.	Noun	6.42
1505759	-	DRIBBLE	-	To let saliva flow out of one\xe2\x80\x99s mouth onto one\xe2\x80\x99s chin.	Verb	4.591
1351256	-	DRIBBLE	-	To have saliva come out from the mouth.	Noun	4.99905
1501234	-	DRILL	-	Tool, used to create holes.	Noun	9.99908
5991	-	DRINK	-	To consume a liquid through the mouth.	Verb	5.13
339	-	DRINK	-	Any one of various liquids for drinking.	Noun	5.9
1510993	-	DRIP	-	To fall one drop at a time.	Verb	10.24
340699	-	DRIVE	-	To operate a (motorized) vehicle (with wheels).	Verb	10.65
161564	-	DRIVER'S LICENSE	-	Official document granting someone the authorisation to drive some vehicles.	Noun	23.34
348656	-	DROP	-	\xc3\x8atre entra\xc3\xaen\xc3\xa9 de haut en bas par son poids.	Verb	10.16
838127	-	DROWN	-	To be suffocated in water or other fluid; to perish by suffocation in water.	Verb	4.751
386380	-	DRUM	-	A percussion instrument consisting of at least one membrane that is stretched over a shell and struck directly with the player&#039;s hands or with a drumstick.	Noun	18.72
6098	-	DRUNK	-	Being in a temporary state in which one&#039;s physical and mental faculties are impaired due to excessive consumption of alcohol.	Adjective	4.98
5989	-	DRY	-	(Almost) free from liquid or moisture.	Adjective	15.84
5886	-	DUCK	-	An aquatic bird of the family Anatidae, having a flat bill and webbed feet.	Noun	3.57
1275135	-	DUNG	-	Animal feces.	Noun	8.99918
1009	-	DUST	-	Any kind of solid material divided in particles of very small size.	Noun	1.213
1510985	-	DWELL	-	To live; to reside; to remain or continue.	Verb	9.99931
1335255	-	DYE	-	To modify the color of something by applying dye.	Verb	6.39
5496	-	EACH	EVERY	Every individual or anything of the given class, with no exceptions.		Function word	13.99903
838154	-	EAGLE	-	Any of several large carnivorous birds in the family Accipitridae, having a powerful hooked bill and keen vision.	Noun	3.584
5510	-	EAR	-	The organ of hearing, consisting of the pinna, auditory canal, eardrum, malleus, incus, stapes and cochlea.	Noun	4.22
1048124	-	EARLOBE	-	The lower fleshy part of the human ear.	Noun	4.221
331892	695342	EARLY	-	Before the expected time.	Function word	14.16
339161	-	EARN	-	To gain (success) through applied effort or work.	Verb	11.79
344234	1033487	EARRING	-	A piece of jewelry worn on the ear.	Noun	6.77
1019	-	EARTHQUAKE	-	The violent shaking of the ground produced by deep seismic waves, originating from the epicentre.	Noun	1.45
1071961	-	EARWAX	-	A yellowish, waxlike secretion from certain glands in the external auditory canal.	Noun	4.222
8131	-	EAST	-	One of the four principal compass points, specifically 90\xc2\xb0, conventionally directed to the right on maps. The direction of the rising sun.	Noun	12.45
472531	-	EASTER	-	A Christian feast commemorating the Resurrection of Christ; the first Sunday following the full moon that occurs on or next after the vernal equinox.	Noun	22.99903
333916	-	EASY	-	Requiring little skill or effort; posing no difficulty.	Adjective	17.46
5827	6596	EAT	-	To consume something solid or semi-solid (usually food) by putting it into the mouth and eventually swallowing it.	Verb	5.11
366432	-	EDGE	-	The boundary of a surface.	Noun	12.353
340828	-	EGG	-	Egg (either fertilized or not) from domesticated birds, most commonly hens, seen as food.	Noun	5.97
8347	-	EGYPT	-	A country in North Africa.	Noun	19.99904
7005	-	EIGHT	-	The cardinal number occurring after seven and before nine, represented in Roman numerals as VIII, in Arabic numerals as 8.	Function word	13.08
422180	-	ELBOW	-	The joint between arm and forearm.	Noun	4.32
1488304	-	ELECTION	-	A process by which members of a population vote to choose a person to hold public office.	Noun	23.38
1109	-	ELECTRICITY	-	A general term used for all phenomena caused by electric charge whether static or in motion.	Noun	23.17
5643	-	ELEPHANT	-	A mammal of the order Proboscidea, having a trunk, and two large ivory tusks jutting from the upper jaw. Elephants are the largest land animals now existing.	Noun	3.77
7006	-	ELEVEN	-	The cardinal number occurring after ten and before twelve, represented in Roman numerals as XI, in Arabic numerals as 11.	Function word	13.101
444093	-	ELF	-	A mythical creature of Germanic mythology. In Norse mythology they were originally minor gods of nature and fertility. They are often pictured as youthful-seeming men and women of great beauty living in forests and other natural places, underground, or in wells and springs. They have been portrayed to be long-lived or immortal and they have magical powers attributed to them.	Noun	22.44
718134	-	ELK	-	The largest member of the deer family (Alces alces), of which the male has very large, palmate antlers.	Noun	3.872
1124797	-	EMBERS	-	A small, glowing piece of coal or wood, as in a dying fire.	Noun	1.841
395892	-	EMBRACE	-	To squeeze someone in one&#039;s arms.	Verb	16.3
465364	-	EMERGE	-	To become known or apparent.	Verb	-
6659	-	EMPTY	-	Without content.	Adjective	13.22
340747	-	END	-	Extreme part.	Noun	12.35
340750	-	END	-	The last or final part.	Noun	14.26
5882	5892	ENEMY	-	Someone who is hostile to, feels hatred towards, opposes the interests of, or intends injury to someone else.	Noun	19.52
8158	-	ENOUGH	-	All that is required, needed, or appropriate.	Function word	13.18
341348	-	ENTER	-	To go into.	Verb	10.57
1083905	1083894	ENTHUSE	-	To fill with enthusiasm.	Verb	16.9991
1086952	-	ENVY	-	A feeling of discontent or covetousness with regard to another&#039;s advantages, success, possessions, etc.	Noun	16.44
8068	-	EUROPEAN	-	A person living in Europe / a person living in the European Union.	Noun	19.99917
6671	-	EVENING	-	That part of the day in which daylight decreases and the night falls.	Noun	14.46
1098484	-	EVIL	-	That which is evil.	Noun	16.99904
1098473	-	EVIL	-	Intending to harm.	Adjective	-
5856	-	EWE	-	A female sheep.	Noun	3.28
6036	-	EXPENSIVE	-	Having a high price, cost.	Adjective	11.88
6661	-	EXPLAIN	-	To inform about the reason for something, how something works, or how to do something.	Verb	17.38
1255943	-	EXTINGUISH	-	To make something stop burning.	Verb	1.861
5511	-	EYE	-	The organ that is sensitive to light, which it converts to electrical signals passed to the brain, by which means animals see.	Noun	4.21
523726	-	EYEBROW	-	The hair that grows over the bone ridge above the eye socket.	Noun	4.212
637874	-	EYELASH	-	One of the hairs that grows on the eyelid, around the eyes.	Noun	4.214
1046808	-	EYELID	-	A skin flap that can be closed over an eye.	Noun	4.213
6410	-	FACE	-	The front part of the head, featuring the eyes, nose, and mouth and the surrounding area.	Noun	4.204
502976	-	FAIRY	-	Criatura fant\xc3\xa1stica de sexo femenino dotada de poderes m\xc3\xa1gicos, especialmente beneficiosos.	Noun	22.44
377540	-	FAIRY TALE	-	A folktale featuring fairies or similar fantasy characters.	Noun	18.99901
1176245	-	FAITHFUL	-	Steadfast in affection.	Adjective	16.65
5622	-	FALL	-	To descend in free fall due to the effect of gravity.	Verb	10.23
1405	-	FAMILY	-	A group comprising parents, offsprings and others closely related or associated with them.	Noun	2.82
1407	-	FAMINE	-	A severe shortage of food, as through crop failure or over population. It may be due to poor harvests following drought, floods, earthquake, war, social conflict, etc.	Noun	5.141
912239	898076	FAN	-	A device that provides air circulation in a closed environment by rotating an helix, in order to cool down someone or something.	Noun	9.79
1510960	-	FAN	-	To blow air on (something) by means of a fan (hand-held, mechanical or electrical) or otherwise.	Verb	9.791
5997	-	FAR	-	Having a large intervening distance with regard to something.	Adverb	12.44
421671	-	FARMER	-	A person who works the land or who keeps livestock, especially on a farm.	Noun	8.11
515390	-	FART	-	To emit digestive gases through the anus.	Verb	4.64
507088	-	FASHION	-	The latest and most admired style in clothes and cosmetics and behavior.	Noun	6.9991
6672	1110122	FAST	-	Occurring or happening within a short time.	Adverb	14.21
1508616	-	FAST	-	To refrain from eating	Verb	22.26
475820	-	FASTEN	-	Tighten and close, for example a belt.	Verb	-
5624	-	FAT	-	The ester of glycerol and one, two, or three fatty acids.	Noun	5.791
5464	-	FATHER	-	A male parent.	Noun	2.35
936030	-	FATHER'S BROTHER	-	The brother of someone\xe2\x80\x99s father.	Noun	2.512
1372531	-	FATHER'S SISTER	-	The sister of one&#039;s father.	Noun	2.522
454081	-	FATHER-IN-LAW	-	The father of someone&#039;s spouse.		Noun	2.61;2.611;2.99905
1153477	-	FATHOM	-	A linear unit of measurement, equal to 6 feet, for water depth.	Noun	12.541
622752	-	FAUCET	TAP	A device applied to the end of a pipe in order to interrupt and regulate the flow of a liquid or gas.		Noun	23.5
1280872	868115	FAULT	-	Wrong act done deliberately or good act omitted deliberately.	Noun	16.76
345325	-	FEAR	-	An emotion experienced in anticipation of some specific pain or danger.	Noun	16.53
6025	-	FEAR	-	To be scared of; to have an uncontrollable emotion of anxiety about something that causes a scared reaction or frightening impression.	Verb	-
5436	-	FEATHER	-	A branching, hair-like structure that grows on the skin of birds and protects them against coldness and water and allows their wings to create lift.	Noun	4.393
467089	343166;343171	FEEL	-	To be in some emotional state.	Verb	15.72
1510534	-	FELT	-	A cloth or stuff made of matted fibres of wool, or wool and fur, fulled or wrought into a compact substance by rolling and pressure, with lees or size, without spinning or weaving. \xe2\x80\x83	Noun	6.27
6393	-	FEMALE	-	Of, relating to, or denoting the sex which is generally characterized as the one associated with the larger gametes (for species which have two sexes and for which this distinction can be made).	Adjective	2.24
6392	-	FEMALE	-	A member of the sex which is generally characterized as the one associated with the larger gametes (for species which have two sexes and for which this distinction can be made).	Adjective	3.13
698534	-	FENCE	-	Delimitation for an area.	Noun	8.16
1525942	-	FERMENTED DRINK	-	A fermented drink is a beverage containing alcohol because of a metabolic process that converts sugar to acids, gases and/or alcohol (e.g. beer or wine).	Noun	5.94
6347	-	FEVER	-	A higher than normal temperature of a person (or generally a mammal).	Noun	4.841
5500	-	FEW	-	More than one, but not as many as usual or as expected.	Function word	13.17
1425	-	FIELD	SAIL	A limited area of land with grass or crops growing on it, which is usually surrounded by fences or closely planted bushes when it is part of a farm.		Noun	10.88;8.12
7010	-	FIFTEEN	-	The cardinal number occurring after fourteen and before sixteen, represented in Roman numerals as XV and in Arabic numerals as 15.	Function word	13.103
7019	-	FIFTY	-	The cardinal number occurring after forty-nine and before fifty-one, represented in Roman numerals as L and in Arabic numerals as 50.	Function word	-
1510497	-	FIG	-	The fruit of the fig tree, pear-shaped and containing many small seeds.	Noun	5.75
1510506	-	FIG TREE	-	A fruit-bearing tree or shrub of the genus Ficus that is native mainly to the tropics.	Noun	5.99901
6030	-	FIGHT	-	To be involved in a physical confrontation.	Verb	20.11
637005	-	FILE	-	A hand tool used to shape material by abrasion.	Noun	9.99909
962533	-	FILL	-	To make full.	Verb	13.99907
1431	-	FILM	MOVIE	A sequence of animated images.		Noun	23.62
1425624	-	FIN	-	An appendage of a fish used for swimming.	Noun	3.652
336790	-	FIND	-	To encounter something by accident or after searching for it.	Verb	11.32
1444	541549	FINE	-	A pecuniary punishment or penalty imposed by lawful tribunal upon person convicted of crime or misdemeanor.	Noun	21.38
5675	-	FINGER	-	One of the long extremities of the hand that is used for gripping objects.	Noun	4.34
5529	-	FINGERNAIL	-	The hard, flat, translucent covering near the tip of a human finger, useful for scratching and fine manipulation.	Noun	4.344
7146	-	FINISH	-	To end something, to bring something to a conclusion.	Verb	14.27
843491	-	FIR	-	An evergreen coniferous tree of the genus Abies.	Noun	8.65
1446	-	FIRE	-	The state of combustion in which inflammable material burns, producing heat, flames and often smoke.	Noun	1.81
1415152	-	FIREFLY	-	A nocturnal, bioluminescent beetle of the family Lampyridae.	Noun	3.91
1395201	-	FIREPLACE	-	An open recess in a wall at the base of a chimney where a fire may be built.	Noun	7.31
1024755	-	FIREWOOD	-	Wood intended to be burned.	Noun	1.88
338524	-	FIRST	-	Having no predecessor. The ordinal number corresponding to one.	Function word	13.34
1460	-	FISH	-	A cold-blooded vertebrate animal that lives in water that moves with the help of fins and breathes using gills (Pisces).	Noun	3.65
1157951	-	FISH	-	To catch or try to catch fish.	Verb	20.99908
1510877	-	FISH POISON	-	in Amazonia, a kind of root is apparently used as fish poison	Noun	8.96
1511114	-	FISH TRAP	-	A contraption made of wires, rods, fishing-net or other suitable materials with the purpose of catching fish alive.	Noun	20.55
7928	-	FISHERMAN	-	A person whose profession is catching fish.	Noun	20.51
461552	-	FISHHOOK	-	A metal hook for catching fish.	Noun	20.52
1048155	-	FISHING LINE	-	A line intended to fasten hooks in when fishing.	Noun	20.53
1511110	-	FISHNET	-	A net used to catch fish.	Noun	20.54
615259	-	FIST	-	The closed hand with the fingers on the palm.	Noun	4.99906
156104	5448	FIVE	-	The fifth natural number (5).	Function word	13.05
376152	-	FLAME	-	A bright yellow, red or bluish light which emerges during combustion processes.	Noun	1.82
6680	-	FLAT	-	Having no variations in altitude.	Adjective	12.71
1476	-	FLEA	-	Any of the wingless insects composing the order Siphonaptera; most are ectoparasites of mammals and birds.&#10;(Source: MGH)	Noun	3.813
414377	-	FLEE	-	Leaving a dangerous or unpleasant situation.	Verb	10.51
1539792	-	FLESH	-	The flesh of humans as opposed to the flesh of animals.	Noun	4.13
6457	6074	FLOAT	-	To move or run smoothly and continously as a fluid.	Verb	10.34
6679	154527	FLOOR	-	The bottom or lower part of any room; the supporting surface of a room.	Noun	7.26
6539	-	FLOUR	-	Ground or milled grain or cereal.	Noun	5.55
961244	7030	FLOW	-	To move as a fluid from one position to another (e.g. of people).	Verb	10.32
1487	-	FLOWER	-	The reproductive structure of angiosperm plants, consisting of stamens and carpels surrounded by petals and sepals all borne on the receptacle.	Noun	8.57
344824	-	FLUTE	-	A musical instrument of the woodwind family.	Noun	18.71
6261	-	FLY	-	A common insect; any species of insect of the order Diptera.	Noun	3.83
6052	-	FLY	-	To move autonomously through the air, without any part of the object or object&#039;s enclosure touching anything attached to the ground.	Verb	10.37
6776	-	FOAL	-	A juvenile horse, especially one which is not yet weaned.	Noun	3.45
7153	-	FOAM	-	A mass of adjacent small pockets of air or bubbles with solid or liquid boundaries.	Noun	1.324
1502	-	FOG	-	Water droplets or, rarely, ice crystals suspended in the air in sufficient concentration to reduce visibility appreciably.	Noun	1.74
6146	-	FOLD	-	To bend a thin material (such as paper) over so that it comes in contact with itself.	Verb	9.15
471020	-	FOLLOW	-	To go or come after (in physical space) someone or something.	Verb	10.52
1505	-	FOOD	-	A substance that can be ingested and utilized by the organism as a source of nutrition and energy.	Noun	5.12
6049	1164917	FOOL	-	A person with poor judgment or little intelligence.	Noun	19.9992
5672	-	FOOT	-	The part of a human\xe2\x80\x99s body below the ankle that is used in order to stand and walk.	Noun	4.37
1510480	-	FOOTPRINT	-	The impression of the foot in a soft substance such as sand or snow.	Noun	4.374
1527216	-	FOR A LONG TIME	-	Great amount of time between two specific events.	Function word	14.332
1262281	-	FOR FREE	-	Without cost.	Adverb	11.99901
1157984	-	FORBID	-	To tell not to do something.	Verb	18.38
6164	1047782;1047801	FORCE	-	The ability to cause significant change.	Noun	20.99903
1241509	-	FOREHEAD	-	The part of the face between the hairline and the eyebrows.	Noun	4.205
1533	-	FOREST	-	A vegetation community dominated by trees and other woody shrubs, growing close enough together that the tree tops touch or overlap, creating various degrees of shade on the forest floor.	Noun	1.41
1507103	-	FORGE	-	To create and mold by hammering.	Verb	9.61
6328	-	FORGET	-	To lose memory of something.	Verb	17.32
6336	-	FORGIVE	-	To stop blaming someone for an offense.	Verb	16.69
5673	-	FORK	-	A utensil with spikes used to put solid food into the mouth.	Noun	5.39
1526645	-	FORKED BRANCH	-	At this point a branch is forked into two or more branches.	Noun	8.74
859332	-	FORTRESS	-	A fortified place; a large and permanent fortification, sometimes including a town.	Noun	20.35
6253	5447	FOUR	-	The cardinal number occurring after three and before five, represented in Roman numerals as IV, in Arabic numerals as 4.	Function word	13.04
1505737	-	FOWL	-	A bird that is kept for its meat and eggs.	Noun	3.5
5726	-	FOX	-	A carnivorous relatively small canine of the species Vulpes Vulpes.	Noun	3.74
1511050	-	FRAGRANT	-	Sweet-smelling; having a pleasant (usually strong) scent or fragrance.	Adjective	15.25
6359	-	FREE	-	Able to act without restriction.	Adjective	19.99905
1511095	-	FREEMAN	-	A free man, one who is not a serf or slave.	Noun	19.44
6042	-	FREEZE	-	To reach a chemically solid state, by the process of cooling.	Verb	1.775
5694	-	FRENCH PERSON	-	The people of France collectively.	Noun	19.99922
433736	-	FRESHWATER EEL	-	A snaky edible fish, which lives in freshwater and in the sea.	Noun	3.665
6988	-	FRIDAY	-	The fifth day of the week in Europe and in systems using the ISO 8601 norm; the sixth day of the week in the United States of America.	Noun	14.67
5793	5795	FRIEND	-	A person other than a family member, spouse or lover whose company one enjoys and towards whom one feels affection.	Noun	19.51
1504545	-	FRIGHTEN	-	To make someone afraid or anxious.	Verb	-
1510574	-	FRINGE	-	A decorative border.	Noun	6.99903
1570	-	FROG	-	Any insectivorous anuran amphibian of the family Ranidae, such as Rana temporaria of Europe, having a short squat tailless body with a moist smooth skin and very long hind legs specialized for hopping.	Noun	3.95
6280	-	FRUIT	-	A botanical fruit that can be eaten raw used as food	Noun	5.71
425934	-	FRY	-	To cook in hot fat.	Verb	5.23
6040	-	FULL	-	Containing the most or maximum amount possible in the given available space.	Adjective	13.21
159253	-	FUNERAL	-	A ceremony to bury or cremate a deceased person.	Noun	22.99905
1588	-	FUNGUS	-	Nucleated usually filamentous, sporebearing organism devoid of chlorophyll.	Noun	-
1590	-	FUR	-	The hair-covered, dressed pelt of a mammal, used in the making of garments and as trimming or decoration.	Noun	6.28
7346	-	FURROW	-	The cut made in a field by a plough.	Noun	8.212
1601	-	GARDEN	-	A piece of land next to a house where flowers and other plants are grown and which often has an area of grass.	Noun	8.13
1525934	-	GARDEN-HOUSE	-	A small building in a garden, such as a shed, which is not usually build to be inhabitated for long times.	Noun	7.131
6430	-	GATE	-	An opening, or passage in a fence or wall; the entrance through which you enter or leave a room or building.	Noun	7.22
7643	-	GATHER	MEET	To collect in one place, usually for a purpose.		Verb	12.21;19.65
5696	-	GERMAN	-	A person of German nationality.	Noun	2.99906
334733	-	GET	-	To get or obtain an item; to come into the possession of something.	Verb	11.16
525317	-	GHOST	-	The visible disembodied soul of a dead person.	Noun	22.45
5611	-	GIFT	-	Something given to another person voluntarily and without charge.	Noun	11.99903
844061	-	GILL	-	The breathing organ of fish and other aquatic animals.	Noun	3.654
6752	-	GIRL	-	A young female person, usually a child or teenager.	Noun	2.26
6059	-	GIVE	-	To transfer the possession or holding (of an object) to another person.	Verb	11.21
1160012	522528	GIVE BACK	-	To transfer a good to the person or people it came from, or to their legal successors.	Verb	11.22
1656	-	GLASS	-	A hard, amorphous, inorganic, usually transparent, brittle substance made by fusing silicates, sometimes borates and phosphates, with certain basic oxides and then rapidly cooling to prevent crystallization.	Noun	9.74
8320	-	GLASSES	SPECTACLES	A pair of lenses in a frame that are worn in front of the eyes and are used to correct faulty vision or protect the eyes.		Noun	23.24
369021	-	GLOVE	-	A garment for a hand, often extending to the wrist and sometimes up to the elbow, which either covers each finger individually, or separates the thumb from the other fingers.	Noun	6.58
46	-	GLUE	-	Substance used for sticking objects together.	Noun	9.56
334831	-	GO	-	To move from a place to another that is further away.		Verb	10.47;10.58
7092	-	GO AWAY	LEAVE	To move away from a place, a situation or a talk.		Verb	10.49;9.99932
480460	-	GO OUT	-	To move out of or depart from.	Verb	10.474
335553	-	GO UP	-	To ascend; to go up.	Verb	10.471
6257	-	GOAT	-	A common four-legged animal (Capra) that is related to sheep and bred by humans for its coat and milk.	Noun	3.36
871639	-	GOD	-	A supernatural, typically immortal being with superior powers.	Noun	22.12
897615	-	GOITER	-	Enlargement of the thyroid gland.	Noun	4.842
5912	-	GOLD	-	A heavy yellow elemental metal of great value, with atomic number 79 and symbol Au.	Noun	9.64
443659	-	GOOD	-	Having desired or positive qualities.	Adjective	16.71
336810	-	GOOD LUCK	-	Something positive that happens to someone by chance.	Noun	16.18
534216	-	GOOSE	-	Waterfowl of the Anatidae family.	Noun	3.56
1526657	-	GOURD	-	It is a versatile plant belonging to multiple types of plants like pumpkins, cucumbers and melons. It is probably one of the earliest domesticated plants.	Noun	8.93
1511088	-	GOVERN	-	To make and administer the public policy and affairs of; to exercise sovereign authority in.	Verb	19.31
351462	-	GOVERNMENT	-	A body that has the authority to make and the power to enforce laws within a civil, corporate, religious, academic, or other organization or group.	Noun	23.3
1674	-	GRAIN	-	Edible, starchy seeds of the grass family (Graminae) usable as food by man and his livestock.	Noun	8.42
6624	-	GRANDCHILD	-	A child of someone\xe2\x80\x99s child.	Noun	2.5
6628	-	GRANDDAUGHTER	-	A daughter of someone&#039;s child.	Noun	2.49
5953	-	GRANDFATHER	-	The father of one of someone&#039;s parents	Noun	2.46
6247	-	GRANDMOTHER	-	The mother of one of someone&#039;s parents.	Noun	2.47
1510376	-	GRANDPARENTS	-	The parents of someone&#039;s parent.	Noun	2.4711
6627	-	GRANDSON	-	A son of someone&#039;s child.	Noun	2.48
393668	-	GRAPE	-	A small, round, smooth-skinned edible fruit, usually purple, red, or green, that grows in bunches on certain vines.	Noun	5.76
992756	1163227	GRASP	-	Get the meaning of something.	Verb	11.14
1675	-	GRASS	-	A very large and widespread family of Monocotyledoneae, with more than 10.000 species, most of which are herbaceous, but a few are woody. The stems are jointed, the long, narrow leaves originating at the nodes. The flowers are inconspicuous, with a much reduced perianth, and are wind-pollinated or cleistogamous.	Noun	8.51
1510547	-	GRASS-SKIRT	-	A skirt made from long dried grass, or synthetic material resembling it.	Noun	6.461
1677	-	GRASSHOPPER	-	A plant-eating insect with long back legs that can jump very high and makes a sharp high noise using its back legs or wings.	Noun	3.93
7187	-	GRAVE	-	A place (commonly marked with a headstone) where one or more people are buried (usually in a coffin underneath the ground).	Noun	4.79
1510501	-	GREASE	-	Animal fat in a melted or soft state; a semisolid lubricant.	Noun	5.791
7958	-	GREECE	-	Country in southeastern Europe having borders with Albania, the Former Yugoslav Republic of Macedonia, Bulgaria, and Turkey.	Noun	19.99906
983313	983280	GREEDY	-	Excessively desirous of money, wealth or possessions.	Adjective	16.83
6032	-	GREEN	-	Having green as its colour; having the hue of that portion of the visible spectrum lying between yellow and blue, evoked in the human observer by radiant energy with wavelengths of approximately 490 to 570 nanometers.	Adjective	15.68
626707	-	GREET	-	To address with salutations or expressions of kind wishes.	Verb	18.99909
1325782	-	GREY	-	Having a colour between black and white, like ash or stone.	Adjective	15.99902
1510592	-	GRIDDLE	-	A flat plate of metal used for cooking.	Noun	7.99903
6858	-	GRIEF	-	Mental suffering or pain caused by injury, loss, or despair.	Noun	16.32
441895	-	GRIND	-	To break something into small pieces by pressing it flat, or grinding it to powder.	Verb	5.56
336417	-	GROAN	-	a low, guttural sound of frustration	Verb	16.39
1539804	-	GROW	-	to cause to grow [a plant] (transitive)	Verb	8.9996
154737	-	GROW	-	(For a living being) To become bigger.	Verb	12.53
866813	-	GUARD	-	A person who protects or watches over something.	Noun	20.471
1510897	-	GUAVA	-	A tropical tree or shrub of the myrtle family, Psidium guava; or its yellowish tropical fruit, 1\xc2\xbc to 2 inches, globular or pear-shaped with thin, yellow, green or brown skin, is often made into jams and jellies. The meat is yellowish or pale green to pink in color.	Noun	8.99921
8518	-	GUESS	-	To succeed to know, or discover, by way of surmises.	Verb	17.171
7254	-	GUEST	-	A person that visits and stays at a house, usually for one or more nights.	Noun	19.56
421045	-	GUESTROOM	-	A room in a home set aside for the use of visiting guests.	Noun	7.99904
692374	-	GUILTY	-	Responsable d&#039;une faute ou d&#039;avoir viol\xc3\xa9 la loi.	Adjective	21.35
1295456	-	GUMS	-	The mucosal tissue that partly lies over the teeth in the mouth.	Noun	4.271
6428	-	GUN	-	A bullet firing weapon.	Noun	20.28
5824	-	GUTS	-	The internal organs of an animal.	Noun	4.461
479932	-	HACK	-	To enter a program or other instructions into a computer (or other electronic device) to instruct it to do a particular task.	Verb	-
446278	-	HAIR	-	The collection or mass of hair on a person&#039;s head except the face.	Noun	4.14
352085	-	HALF	-	One of the two equal parts of a whole.	Noun	13.24
6183	-	HAMMER	-	A tool with a heavy head and a handle used for pounding.	Noun	9.49
987151	-	HAMMOCK	-	A swinging couch or bed, usually made of netting or canvas about six feet (1.8 m) wide, suspended by clews or cords at the ends.	Noun	7.66
5616	-	HAND	-	That part of the fore limb below the forearm or wrist in primates (including humans).	Noun	4.33
436343	-	HANDKERCHIEF	-	A piece of cloth, usually square and often fine and elegant, carried for wiping the face, nose or hands.	Noun	6.81
1510949	-	HANG UP	-	To put up to hang	Verb	9.341
1717	-	HARBOUR	PORT; WHARF	Area of water next to the coast, often surrounded by thick walls, where ships and boats can be sheltered.		Noun	10.91;9.9991;9.99926
8173	-	HARD	-	Resistant to pressure.	Adjective	15.74
535092	-	HARE	-	Mammal of the family hares and rabbits (Leporidae) with long ears, short tail and hindlegs which are shorter than the forelegs and permit running quickly.	Noun	3.863
358355	-	HARPOON	-	A spearlike weapon with a barbed head used in hunting whales and large fish.	Noun	9.99911
1722	1262193	HARVEST	-	The amount or measure of the crop gathered in a season.	Noun	8.41
344283	-	HAT	-	An item of clothing intended to cover the head made from material hard enough to have a shape independant of the skull, and most commonly with a rim.	Noun	6.55
6573	-	HATE	-	To dislike intensely; to feel strong hostility towards.	Verb	16.41
344354	467454	HAVE	-	To be in possession (of an object).	Verb	11.11
7269	-	HAVE SEX	-	To take part in sexual activity (most commonly sexual intercourse) with another person for the purposes of sexual pleasure.	Verb	4.67
1510384	-	HAWK	-	A predatory bird of the family Accipitridae.	Noun	3.585
1510854	-	HAY	-	Grass or cut and dried for use as animal fodder.	Noun	8.52
5454	-	HE	-	A male other; the male previously mentioned; himself.  &#10;3rd person singular masculine subject pronoun.	Function word	2.931
1505730	-	HE-GOAT	-	A male goat.	Noun	3.37
1505714	-	HE/SHE/IT	-	Third person singular pronoun, regardless of gender/sex.	Function word	2.93
5527	-	HEAD	-	The part of the body of an animal or human which contains the brain, mouth and main sense organs.	Noun	4.2
1510396	-	HEAD LOUSE	-	A parasitic insect which lives among the hairs on the head of a human and feeds on blood.	Noun	3.811
1510556	-	HEADBAND	-	A strip of fabric worn around the head or a hair-accessory, made of a flexible material and curved like a horseshoe, for holding one&#039;s hair back.	Noun	6.78
1510560	-	HEADDRESS	-	A decorative covering or ornament worn on the head.	Noun	6.78
5901	-	HEALTHY	-	In good physical and mental condition; free from disease.	Adjective	4.83
5999	-	HEAR	-	To perceive sound with the ear, without necessarily paying attention to it.	Verb	15.41
5475	-	HEART	-	A muscular organ that pumps blood through the body.	Noun	4.44
6426	6427	HEAVEN	-	Outer space visible from the Earth&#039;s surface, infinitely extending above us and&#10;limited by the horizon.	Noun	22.31
5451	-	HEAVY	-	Of a physical object, having great weight.	Adjective	15.81
422122	-	HEEL	-	The part of the foot on the backside where it becomes the leg.	Noun	4.372
372550	-	HELL	-	In various religions, the place where sinners are said to go after death.	Noun	22.32
691679	-	HELMET	-	Dispositivo de protecci\xc3\xb3n para la cabeza utilizado por militares, trabajadores y deportistas.	Noun	20.33
830463	-	HELP	-	To give assistance or aid to.	Verb	19.58
6311	-	HEN	-	A female chicken.	Noun	3.54
1510435	1510438	HERD	-	A number of domestic animals assembled together under the watch or ownership of a keeper.	Noun	3.99917
1505722	-	HERDSMAN	-	A man who looks after a herd of animals.	Noun	3.18
