# CONCEPTICON
# Created by: QLC Research Group
# Created on: 2014-05-08 10:17

OMEGAWIKI	SEEALSO	GLOSS	ALIAS	DEFINITION	POS	WOLD
6078	-	AT	-	With very little distance to or in a particular place or location.	Function word	12.013
337168	436121	ATTACK	-	The application of violent force to someone or something.	Noun	20.43
6561	-	ATTACK	-	To apply violent force to someone or something.	Verb	20.99907
5591	-	AUNT	-	A woman with one or more siblings who have one or more children; a sister of someone&#039;s father or mother.	Noun	2.52
5776	7880	AUSTRALIA	-	A country in Oceania, with capital Canberra.	Noun	19.99902
5615	-	AUTUMN	FALL	The season after summer and before winter, traditionally from September 21 to December 20 in the northern hemisphere and from March 21 to June 20 in the southern hemisphere.		Noun	14.77
1505847	-	AWL	-	Pointed tool for marking or piercing wood or leather.	Noun	6.37
333200	-	AX	AXE	A tool for felling trees or chopping wood consisting of a heavy metallic head flattened to a blade on one side, and which is attached to a usually wooden handle.		Noun	9.25
7167	-	AXLE	-	The central part of a wheel, that usually does not turn.	Noun	10.77
5642	-	BABY	-	A very young human being, from birth to a year old.	Noun	2.28
5648	-	BACK	-	The rear of body, especially the part between the neck and the end of the spine and opposite the chest and belly.	Noun	4.19
5646	-	BACK	-	That which is farthest away from the front.	Adverb	12.99902
859210	-	BACON	-	The flesh of the back and sides of a pig, salted and dried, used as food.	Noun	5.99905
5650	-	BAD	-	Not good; unfavorable; negative.	Adjective	16.72
1107818	-	BAD LUCK	-	An undesirable event such as an accident.	Noun	16.19
354587	7726	BAG	-	A object used for carrying money and small personal items or accessories (especially by women).	Noun	6.99901
978246	-	BAIT	-	Anything that serves as an enticement.	Noun	20.56
1392775	-	BAKE	-	To cook (something) in an oven, but not in fat.	Verb	5.24
490061	-	BALD	-	Without hair on the head.	Adjective	4.93
7785	7782	BALL	-	An object, generally spherical, used for playing games.	Noun	12.83
432997	-	BALLOT	-	The process of voting, especially in secret.	Noun	19.99937
848903	-	BAMBOO	-	A group of woody perennial evergreen plants in the true grass family Poaceae, subfamily Bambusoideae, tribe Bambuseae.	Noun	8.94
369665	734724	BANANA	-	The fruit of the banana tree.	Noun	8.84
1510412	-	BANDICOOT	-	Small, ratlike marsupial, of the family Peramelidae with a distinctive long snout.	Noun	3.99907
5632	-	BANK	-	A financial institution where one can borrow money (upon which interest is due) or deposit money (in order to collect interest).	Noun	23.44
1510869	-	BANYAN	-	A tropical Indian fig tree, Ficus benghalensis, that has many aerial roots.	Noun	8.85
155842	-	BARBECUE	-	To cook food, often meat or fish, over glowing charcoal.	Noun	9.99928
468880	-	BAREFOOT	-	Without shoes nor socks.	Adjective	4.99901
5439	-	BARK	-	The exterior covering of the trunk and branches of a tree.	Noun	8.75
398106	-	BARLEY	-	A strong cereal of the genus Hordeum, or its grains, often used as food or to make malted drinks.	Noun	8.44
