UK	UNIQUE_GLOSS	ENGLISH_GLOSS	LWT_KEY	LWT_GLOSS	PART_OF_SPEECH	SEMANTIC_FIELD	OMEGA_WIKI	EXAMPLE CONTEXT/EXPLANATION	ENGLISH_GLOSS	SPANISH_GLOSS	Alternative Omega Wiki Links	FRENCH_GLOSS	PORTUGUESE_GLOSS	GERMAN_TRANSLATION	RUSSIAN_GLOSS
28	THE WAVE	wave	1.35	the wave	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:wave_(421112)	e.g. The tallest waves are found in the Pacific Ocean.	wave	ola		vague	<onda>	Welle	волна
29	THE TIDE	tide	1.352	the tide	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:tide_(3777)	the regular rising and lowering of the level of the sea	tide	marea		marée	<maré>	Gezeiten	прилив и отлив
30	THE LOW TIDE	low tide	1.353	the low tide	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:bajamar_(440739)	e.g. During low tide the rock is exposed.	low tide	bajamar		marée basse	<maré baixa, maré vazia>	Ebbe	отлив
31	THE HIGH TIDE	high tide	1.354	the high tide	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:high_tide_water_(1769)	e.g. The rock is not visible during high tide.	high tide	pleamar		marée haute	<maré alta, preamar, praiamar>	Flut	прилив
32	THE RIVER	river	1.36	the river or stream	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:river_(3253)	large body of flowing water	river	río		<fleuve, rivière, ruisseau>	<rio, riacho, córrego>	Fluss	река, поток
33	THE STREAM	stream	1.36	the river or stream	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:stream_(411075)	small body of flowing water	stream, brook	corriente, arroyo	http://www.omegawiki.org/DefinedMeaning:brook_(436)	<fleuve, rivière, ruisseau>	<rio, riacho, córrego>	Bach	ручей
34	THE WHIRLPOOL	whirlpool	1.362	the whirlpool	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:whirlpool_(934369)	a powerful current of water that spins around and can pull things down into it	whirlpool	remolino		tourbillon, remous	<remoinho, redemoinho>	Strudel	водоворот
35	THE SPRING	spring	1.37	the spring or well	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:spring_(hydrology,_land)_(3596)	natural source of water	spring	manantial		source	<nascente, poço>	Quelle	родник
36	THE WELL	well	1.37	the spring or well	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:well_(4138)	artificial source of water	well	pozo		puits	<nascente, poço>	Brunnen	колодец, скважина
37	THE SWAMP	swamp	1.38	the swamp	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:swamp_(5069)	e.g. Be careful, there are crocodiles in the swamp.	swamp	pantano		marais, marécage	<pântano, pantanal>	Sumpf	болото
38	THE WATERFALL	waterfall	1.39	the waterfall	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:waterfall_(4079)	e.g. The waterfall runs dry in the summer.	waterfall	cascada		chute d'eau, cascade	<cachoeira, cascata>	Wasserfall	водопад
39	THE WOODS	woods	1.41	the woods or forest	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:wood_(4168)	Area with lots of trees, but not too densely populated, and not too large	woods	bosque		bois	<bosque, floresta>	Wald	лес
40	THE FOREST	forest	1.41	the woods or forest	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:forest_(1533)	Large area densely populated with trees (not yet a jungle)	forest	bosque		forêt	<bosque, floresta>	Wald	лес
41	THE SAVANNA	savanna	1.411	the savanna	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:savanna_(1505696)	a large open grassland in tropical and subtropical regions	savanna	sabana		savane	-	Savanne	саванна
42	THE WOOD	wood	1.43	the wood	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:wood_(741520)	material that people get from trees	wood	madera		bois	<madeira>	Holz	 древесина, дерево
43	THE STONE	stone	1.44	the stone or rock	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:stone_(3633)	small stone object	stone	piedra		pierre, roc, rocher, roche	<pedra, calhau, rocha>	Stein	камень
44	THE ROCK	rock	1.44	the stone or rock	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:rock_(3266)	large stone object	rock	roca		<pierre, roche	<pedra, calhau, rocha>	Fels	порода
45	THE EARTHQUAKE	earthquake	1.45	the earthquake	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:earthquake_(1019)	e.g. The house was destroyed by an earthquake.	earthquake	terremoto		tremblement de terre, séisme	<terremoto>	Erdbeben	землетрясение
46	THE SKY	sky	1.51	the sky	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:himmel_(7039)	There were white clouds in the blue sky.	sky	cielo		ciel	<céu>	Himmel	небо
47	THE SUN	sun	1.52	the sun	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:sun_(5850)	e.g. The sun rises in the east.	sun	sol		soleil	<sol>	Sonne	солнце
48	THE MOON	moon	1.53	the moon	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:moon_(5729)	e.g. The moon shone brightly in the clear night sky.	moon	luna		lune	<lua>	Mond	луна
49	THE STAR	star	1.54	the star	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:star_(6041)	e.g. The stars shone brightly in the clear night sky.	star	estrella		étoile	<estrela>	Stern	звезда
50	THE LIGHTNING	lightning	1.55	the lightning	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:lightning_(6811)	e.g. I was momentarily blinded by the lightening.	lightning	relámpago		éclair	<relâmpago>	Blitz	молния
51	THE THUNDER	thunder	1.56	the thunder	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:thunder_(509787)	e.g. The thunder was deafening.	thunder	trueno		tonnerre	<trovão>	Donner	гром
52	THE BOLT OF LIGHTNING	bolt of lightning	1.57	the bolt of lightning	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:flash_(963421)	a flash of lightning and a noise of thunder together, which hits something	bolt, flash	rayo		<foudre>	<raio>	Blitz	молния
53	THE STORM	storm	1.58	the storm	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:storm_(3635)	e.g. It's more than just rain-it's a real storm!	storm	tempestad, tormenta		orage, tempête	<tempestade>	Sturm	буря, шторм
54	THE RAINBOW	rainbow	1.59	the rainbow	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:rainbow_(7041)	e.g. After the storm, a rainbow appeared in the sky.	rainbow	arco iris		arc-en-ciel	<arco-íris>	Regenbogen	радуга
55	THE LIGHT	light	1.61	the light	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:light_(2158)	e.g. The fire gave a bright light.	light	luz		lumière	<luz>	Licht	свет
56	THE DARKNESS	darkness	1.62	the darkness	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:darknesss_(1025381)	e.g. After the sunset, darkness quickly fell.	darkness	oscuridad		obscurité	<escuridão>	Dunkelheit	темнота
57	THE SHADE	shade	1.63	the shade or shadow	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:shade_(5966)	area blocked from sunligh	shade, shadow	sombra		ombre	<sombra>	Schatten	тень
59	THE DEW	dew	1.64	the dew	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:dew_(921645)	e.g. The trees were wet from the morning dew.	dew	rocío		rosée	<orvalho>	Tau	<роса>
60	THE AIR	air	1.71	the air	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:air_(106)	e.g. The air is cool and fresh here in the mountains.	air	aire		air	<ar>	Luft	<воздух>
61	THE WIND	wind	1.72	the wind	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:wind_(4160)	e.g. The wind blew so hard it knocked down the tree.	wind	viento		vent	<vento>	Wind	<ветер>
62	THE CLOUD	cloud	1.73	the cloud	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:cloud_(623)	There were white clouds in the blue sky.	cloud	nube		nuage	<nuvem>	Wolke	<облако, туча>
63	THE FOG	fog	1.74	the fog	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:fog_(1502)	e.g. The fog is so thick I can't see the road.	fog	niebla		brouillard	<nevoeiro, névoa>	Nebel	<туман>
64	THE RAIN	rain	1.75	the rain	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:rain_(3100)	e.g. After the rain, the sun appeared again.	rain	lluvia		pluie	<chuva>	Regen	<дождь>
65	THE SNOW	snow	1.76	the snow	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:snow_(3455)	e.g. Snow fell all night and covered the city.	snow	nieve	http://www.omegawiki.org/DefinedMeaning:lumi_(8047)	neige	<neve>	Schnee	<снег>
66	THE ICE	ice	1.77	the ice	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:ice_(1837)	e.g. A layer of ice formed over the lake.	ice	hielo		glace	<gelo>	Eis	<лед, гололед>
